"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0200102","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200103","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200104","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200105","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200106","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200107","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200108","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200109","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200111","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200112","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200113","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200114","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200117","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200119","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200120","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200121","","","Varsinais-Suomen elinkeino,- liikenne- ja ympäristökeskus","","","","","","",""
"FI0200122","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200123","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200125","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200126","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200127","","","Lounais-Suomen ympäristökeskus Pl 47 20801  Turku","","","","","","",""
"FI0200128","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200129","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200130","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
