"DIRECTIVE","SPECIESNAME","ANNEXII","ANNEXII1","ANNEXII2","ANNEXIII1","ANNEXIII2","ANNEXIV","ANNEXV","SPBCAX1"
"Birds Directive","Pinicola enucleator","N","N","N","N","N","","",""
"Birds Directive","Platalea leucorodia","Y","N","N","N","N","","",""
"Birds Directive","Plectrophenax nivalis","N","N","N","N","N","","",""
"Birds Directive","Plegadis falcinellus","Y","N","N","N","N","","",""
"Birds Directive","Pluvialis apricaria","Y","N","Y","N","Y","","",""
"Birds Directive","Pluvialis squatarola","N","N","Y","N","N","","",""
"Birds Directive","Podiceps auritus","Y","N","N","N","N","","",""
"Birds Directive","Podiceps caspicus","N","N","N","N","N","","",""
"Birds Directive","Podiceps cristatus","N","N","N","N","N","","",""
"Birds Directive","Podiceps grisegena","N","N","N","N","N","","",""
"Birds Directive","Podiceps nigricollis","N","N","N","N","N","","",""
"Birds Directive","Polysticta stelleri","Y","N","N","N","N","","",""
"Birds Directive","Porphyrio porphyrio","Y","N","N","N","N","","",""
"Birds Directive","Porzana parva","Y","N","N","N","N","","",""
"Birds Directive","Porzana porzana","Y","N","N","N","N","","",""
"Birds Directive","Porzana pusilla","Y","N","N","N","N","","",""
"Birds Directive","Procellaria diomedea","N","N","N","N","N","","",""
"Birds Directive","Prunella atrogularis","N","N","N","N","N","","",""
